Site,Treatment,Location,Block,Year,Date,Days.After.Planting,    total.flux,  R^2,Rsqr_cleaned,ParameterA,ParameterB,ParameterC
Mandan,BAU,H2,H,2020,619,30,5.78737,0.430105,NA, 'A': 5.06825400231822, 'B': 0.1637028056335931, 'C': 0.1406455274057263
Mandan,BAU,H2,H,2020,730,71,1.15699,0.999927,1.15699, 'A': 4.141853867650755, 'B': -7.9719427587008385, 'C': 7.581093731785252
Mandan,BAU,H3,H,2020,619,30,4.3089,0.983991,4.3089, 'A': 6.040527983878152, 'B': -0.6136860877459975, 'C': -0.16835016243322962
Mandan,BAU,H3,H,2020,730,71,0.776202,0.978071,0.776202, 'A': 2.0612773226341212, 'B': -3.2853556441813323, 'C': 1.58782433776097
Mandan,BAU,I1,I,2020,619,30,4.67611,0.988368,4.67611, 'A': 3.2073480951546602, 'B': 1.2552526982730057, 'C': -0.7832389155822684
Mandan,BAU,I1,I,2020,730,71,0.95758,0.977139,0.95758, 'A': 4.697275161056017, 'B': -8.991996742771251, 'C': 7.9249156406883445
Mandan,BAU,I2,I,2020,619,30,4.51161,0.771847,NA, 'A': 4.238345845959123, 'B': -0.48628740386483693, 'C': 0.8887582509097499
Mandan,BAU,I2,I,2020,730,71,0.757675,0.962363,NA, 'A': 6.426338755083368, 'B': -13.227031497974698, 'C': 11.62306303272099
Mandan,BAU,I3,I,2020,619,30,4.51501,0.854021,NA, 'A': 2.548237909410573, 'B': 3.348858274189848, 'C': -3.398201648696061
Mandan,BAU,I3,I,2020,730,71,0.725907,0.53948,NA, 'A': 1.4039115954206953, 'B': -3.9831895106183937, 'C': 3.86262671682149
Mandan,BAU,A1,A,2021,726,59,17.2869,0.996547,17.2869, 'A': 169.26768185513737, 'B': -12.731865408601989, 'C': 9.698890745928237
Mandan,BAU,A1,A,2021,831,96,4.54791,0.989342,4.54791, 'A': 0.05782066884773673, 'B': 37.691661439659455, 'C': -60.74937620898357
Mandan,BAU,A1,A,2021,929,125,2.75308,0.741046,NA, 'A': 7.507360930773959, 'B': -5.902337164794681, 'C': 5.547007800060166
Mandan,BAU,A2,A,2021,726,59,37.9256,0.999989,37.9256, 'A': 403.73952522749767, 'B': -12.49502252954856, 'C': 7.765303081363053
Mandan,BAU,A2,A,2021,831,96,7.51474,0.964142,NA, 'A': 0.004565548505016366, 'B': 30.655019896038922, 'C': -27.65814794518986
Mandan,BAU,A2,A,2021,929,125,4.16158,0.982567,4.16158, 'A': 34.14599617573977, 'B': -12.823819877512054, 'C': 11.202500245955857
Mandan,BAU,A3,A,2021,726,59,39.8579,0.99947,39.8579, 'A': 782.0265646290829, 'B': -22.31688615848389, 'C': 18.28257547522186
Mandan,BAU,A3,A,2021,831,96,1.19461,0.885716,NA, 'A': 4.072090959240869, 'B': -7.111764097622807, 'C': 6.543524600959414
Mandan,BAU,A3,A,2021,929,125,1.87677,0.79399,NA, 'A': 4.23050732877062, 'B': -4.741499374737015, 'C': 4.485186551957129
Mandan,BAU,B1,B,2021,726,59,23.2531,0.997292,23.2531, 'A': 313.1593712926075, 'B': -16.350107680972098, 'C': 12.830217700759166
Mandan,BAU,B1,B,2021,831,96,1.9926,0.867852,NA, 'A': 9.243736416059162, 'B': -9.409939744681388, 'C': 8.720950322716554
Mandan,BAU,B1,B,2021,929,125,2.90184,0.957113,NA, 'A': 17.376397067038436, 'B': -10.816088222702552, 'C': 9.74409424309781
Mandan,BAU,B2,B,2021,726,59,6.14172,0.997825,6.14172, 'A': 37.40957373010284, 'B': -8.52880585410684, 'C': 5.989646888797511
Mandan,BAU,B2,B,2021,831,96,0.973879,0.917191,NA, 'A': 0.4655654887190079, 'B': 2.2154375431086035, 'C': -1.2319652613630865
Mandan,BAU,B2,B,2021,929,125,1.72965,0.804946,NA, 'A': 0.7646950559862575, 'B': 3.8739307382399972, 'C': -3.4727534038733854
Mandan,BAU,B3,B,2021,726,59,5.47695,0.982954,5.47695, 'A': 24.9973984814164, 'B': -7.38696886039027, 'C': 5.786754562737445
Mandan,BAU,B3,B,2021,831,96,1.47686,0.0985498,NA, 'A': 1.8318700090370703, 'B': -0.9852897343318973, 'C': 0.8224798478830196
Mandan,BAU,B3,B,2021,929,125,1.79036,0.845059,NA, 'A': 3.4430028379545026, 'B': -3.635848287725296, 'C': 3.3820966741126983
Mandan,BAU,C1,C,2021,726,59,8.44537,0.992693,8.44537, 'A': 28.494133954683342, 'B': -1.5886205902880146, 'C': -4.05217779052367
Mandan,BAU,C1,C,2021,831,96,1.59884,0.871219,NA, 'A': 5.029985072545306, 'B': -6.32324844022795, 'C': 5.6857889483985184
Mandan,BAU,C1,C,2021,929,125,2.573,0.924365,NA, 'A': 6.3778722296601185, 'B': -4.786800620026838, 'C': 4.250768797218929
Mandan,BAU,C2,C,2021,726,59,15.5838,0.999661,15.5838, 'A': 176.627859831068, 'B': -13.902119434796479, 'C': 10.20728521017981
Mandan,BAU,C2,C,2021,831,96,1.46255,0.667552,NA, 'A': 3.60587699320402, 'B': -5.90869344271434, 'C': 5.848874863278602
Mandan,BAU,C2,C,2021,929,125,3.09707,0.940246,NA, 'A': 11.576151180664999, 'B': -7.276224064289201, 'C': 6.46198417400834
Mandan,BAU,C3,C,2021,726,59,16.6568,0.999766,16.6568, 'A': 128.88516067549415, 'B': -9.149228295783981, 'C': 4.668460421247576
Mandan,BAU,C3,C,2021,831,96,1.29964,0.919355,NA, 'A': 4.767759032901705, 'B': -8.349566252733561, 'C': 8.018775742556462
Mandan,BAU,C3,C,2021,929,125,2.80562,0.985082,2.80562, 'A': 11.386728953846129, 'B': -7.838373454839265, 'C': 6.976394338991695
Mandan,BAU,D1,D,2021,726,59,4.05252,0.938034,NA, 'A': 7.761039970680649, 'B': -1.172850318983306, 'C': -0.5374576706615064
Mandan,BAU,D1,D,2021,831,96,4.70403,0.99662,4.70403, 'A': 34.46894002963499, 'B': -9.978459443620503, 'C': 7.213362824502682
Mandan,BAU,D1,D,2021,929,125,1.90801,0.672877,NA, 'A': 3.2174439410717586, 'B': -3.5817495846963525, 'C': 3.6843878574997198
Mandan,BAU,D2,D,2021,726,59,4.50637,0.806014,NA, 'A': 7.799342728531548, 'B': -1.376028208457882, 'C': 0.26148537973733627
Mandan,BAU,D2,D,2021,831,96,10.5078,0.993553,10.5078, 'A': 224.0471481927974, 'B': -30.528679327078432, 'C': 29.29417742828269
Mandan,BAU,D2,D,2021,929,125,2.10526,0.818005,NA, 'A': 4.155402645328742, 'B': -4.905448242466907, 'C': 5.083036954506616
Mandan,BAU,D3,D,2021,726,59,22.3346,0.996754,22.3346, 'A': 105.40151788625279, 'B': -4.674846909927361, 'C': -0.0009155570034564151
Mandan,BAU,D3,D,2021,831,96,2.02755,0.973061,2.02755, 'A': 13.540252024755333, 'B': -12.689996488941425, 'C': 11.894543750617656
Mandan,BAU,D3,D,2021,929,125,2.55208,0.919536,NA, 'A': 9.156770098178072, 'B': -7.388813618775048, 'C': 6.765217362896623
Mandan,BAU,E1,E,2021,726,59,4.26334,0.913128,NA, 'A': 2.6810952367398744, 'B': 9.79191556840244, 'C': -17.473010823084216
